,content,new,polarity,subjectivity,P1,S1,P2,S2,P3,S3,P4,S4
0,If the choice is between mining for bitcoin - which wastes hydroelectric power and takes up empty office space -- or mining for gold &amp,"Si la elección es entre la minería de bitcoin, que desperdicia energía hidroeléctrica y ocupa espacio de oficina vacío, o la minería de oro y",-0.15000000000000002,0.25,-0.15000000000000002,0.25,-0.15000000000000002,0.25,-0.15000000000000002,0.25,-0.15000000000000002,0.25
1,"<br/>To me, Bitcoin (et al) appears to be an expensive game a number of speculative people, many who want to hide their money, are playing. <br/><br/>The problem: it is only etherial math. Neat, but not worth anything if people get turned off the game by losing money. A matter of time, I believe, because it's too much like a Ponzi scheme.","<br/> Para mí, Bitcoin (et al) parece ser un juego costoso que están jugando varias personas especulativas, muchas de las cuales quieren esconder su dinero. <br/> <br/> El problema: es solo matemática etérea. Genial, pero no vale nada si la gente se apaga por perder dinero. Es cuestión de tiempo, creo, porque se parece demasiado a un esquema Ponzi.",-0.10714285714285714,0.4714285714285715,-0.10714285714285714,0.4714285714285715,-0.10714285714285714,0.4714285714285715,-0.10714285714285714,0.4714285714285715,-0.10714285714285714,0.4714285714285715
2,"Bitcoin is a pyramid scheme backed by nothing and meaning nothing.  It is useful to criminal enterprises, terrorists and those bent on evading taxes. It is not a generally accepted form of currency and it will never be.  Yes, we are wasting huge amounts of economic potential on financial engineering instead of building infrastructure, devising new architectural methods, and rising to the challenges of global warming, rising seas, harsh storms and lack of potable water.  When the historians look back on us a thousand years hence (if there are historians a thousand years hence), they will see how foolish our moment in time was.  And, they will laugh and cry over our stupidity. ","Bitcoin es un esquema piramidal respaldado por nada y que no significa nada. Es útil para empresas delictivas, terroristas y aquellos que se empeñan en evadir impuestos. No es una forma de moneda generalmente aceptada y nunca lo será. Sí, estamos desperdiciando enormes cantidades de potencial económico en ingeniería financiera en lugar de construir infraestructura, idear nuevos métodos arquitectónicos y enfrentar los desafíos del calentamiento global, el aumento de los mares, las fuertes tormentas y la falta de agua potable. Cuando los historiadores nos miren hacia atrás dentro de mil años (si hay historiadores dentro de mil años), verán cuán tonto fue nuestro momento en el tiempo. Y se reirán y llorarán por nuestra estupidez.",0.008566433566433563,0.4157342657342657,0.008566433566433563,0.4157342657342657,0.008566433566433563,0.4157342657342657,0.008566433566433563,0.4157342657342657,0.008566433566433563,0.4157342657342657
3,"What does it cost in energy to dig up and refine an ounce of gold?  Are bitcoins any worse?  It's important to realize that they're not ""virtual dollars"", but rather ""virtual gold"", and subject to the same sort of lunacy as all precious metals.<br/>Thus, the main problem with a bitcoin is that its ""value"" tomorrow, let alone next week, is unknowable, while it's price is much more easily manipulated than is the price of gold or the value of a dollar.<br/>Cryptocurrencies have only two utilties: (1) you can buy goods or services on the other side of the world without having to pay extortionate fees to financial institutions, and (2) tax and law enforcement authorities can't detect or trace the transaction.   I'm pretty sure #2 is the biggie right now, although I'd be happy to take advantage of #1 if the medium could hold a consistent value from contract through purchase.","¿Cuánto cuesta en energía desenterrar y refinar una onza de oro? ¿Los bitcoins son peores? Es importante darse cuenta de que no son ""dólares virtuales"", sino ""oro virtual"", y están sujetos a la misma clase de locura que todos los metales preciosos. <br/> Por lo tanto, el principal problema con un bitcoin es que su "" valor ""mañana, y mucho menos la semana que viene, es incognoscible, mientras que su precio se manipula mucho más fácilmente que el precio del oro o el valor de un dólar. <br/> Las criptomonedas tienen solo dos utilidades: (1) puedes comprar bienes o servicios en el otro lado del mundo sin tener que pagar tarifas exorbitantes a las instituciones financieras, y (2) las autoridades fiscales y policiales no pueden detectar ni rastrear la transacción. Estoy bastante seguro de que el n. ° 2 es el más importante en este momento, aunque me encantaría aprovechar el n. ° 1 si el medio pudiera mantener un valor constante desde el contrato hasta la compra.",0.14689153439153438,0.5985890652557321,0.14689153439153438,0.5985890652557321,0.14689153439153438,0.5985890652557321,0.14689153439153438,0.5985890652557321,0.14689153439153438,0.5985890652557321
4,You forgot to mention stock buybacks. ,Olvidó mencionar las recompras de acciones.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,The unquestioned value of crypto currencies is that they provide an easy way for organized crime syndicates of all stripes to launder their ill gotten millions and billions while making suckers out of governments and the rest of us.,El valor incuestionable de las criptomonedas es que brindan una manera fácil para que los sindicatos del crimen organizado de todo tipo laven sus millones y miles de millones mal habidos mientras hacen tontos a los gobiernos y al resto de nosotros.,-0.12222222222222222,0.8777777777777779,-0.12222222222222222,0.8777777777777779,-0.12222222222222222,0.8777777777777779,-0.12222222222222222,0.8777777777777779,-0.12222222222222222,0.8777777777777779
6,Bitcoin will change government profoundly.  With Bitcoin people have a choice if they want to pay taxes on income or transactions.  If people don't like the government they won't pay taxes.  This could cause dissolutions of unpopular governments.,"Bitcoin cambiará el gobierno profundamente. Con Bitcoin, las personas pueden elegir si quieren pagar impuestos sobre los ingresos o las transacciones. Si a la gente no le agrada el gobierno, no pagará impuestos. Esto podría provocar la disolución de gobiernos impopulares.",0.08333333333333333,1.0,0.08333333333333333,1.0,0.08333333333333333,1.0,0.08333333333333333,1.0,0.08333333333333333,1.0
7,"Of course currencies have always been virtual and value never actually is “in” the objects produced. The “waste of electricity” mining virtual currencies just puts the relations of production, consumption and waste that have always been there in that much starker relief. Haven’t we always been wasting electricity? Is producing billions of tons of plastic Happy Meal toys, styrofoam cups and cheap disposable-this or single-use-that really a more virtuous use of resources and labor? ","Por supuesto, las monedas siempre han sido virtuales y el valor nunca está ""en"" los objetos producidos. El “desperdicio de electricidad” de la extracción de monedas virtuales solo pone las relaciones de producción, consumo y desperdicio que siempre han estado ahí en un relieve mucho más marcado. ¿No hemos estado siempre desperdiciando electricidad? ¿Producir miles de millones de toneladas de juguetes de plástico Happy Meal, vasos de poliestireno y desechables baratos, esto o un solo uso, es realmente un uso más virtuoso de los recursos y la mano de obra?",0.21428571428571427,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.35714285714285715
8,"Bitcoin is a scam and waste of electricity. So is most of the electricity used for cell-phones, Facebook, Snapchat, emails.","Bitcoin es una estafa y un desperdicio de electricidad. También lo es la mayor parte de la electricidad utilizada para teléfonos móviles, Facebook, Snapchat, correos electrónicos.",0.15,0.25,0.15,0.25,0.15,0.25,0.15,0.25,0.15,0.25
9,"Cryptocurrencies like Bitcoin are difficult to explain, no less understand. That's the case for many things labeled ""virtual"", and it's therefore to be expected that many will criticize them as a waste of time.<br/><br/>But this tendency to rebel against something that seems inexplicable should be resisted. You don't need to look far for other examples of similar ""waste"". Around 2005 there was a worldwide ringtone market valued over 3 billion dollars per year. How much energy was used to produce, advertise, sell and distribute these sounds? How much energy is consumed by social media, whose profit comes from selling advertising? Would tying ads to Bitcoin make it more real, more justified?<br/><br/>Bitcoin may have a less than obvious purpose to many, but even if viewed as nothing more than online gambling (another energy user) it's right smack in the middle of a long list of very human, and increasingly virtual, endevors.","Las criptomonedas como Bitcoin son difíciles de explicar, no menos de comprender. Ese es el caso de muchas cosas etiquetadas como ""virtuales"" y, por lo tanto, es de esperar que muchos las critiquen como una pérdida de tiempo. <br/> <br/> Pero esta tendencia a rebelarse contra algo que parece inexplicable debe resistirse. No es necesario que busque muy lejos otros ejemplos de ""desperdicio"" similar. Alrededor de 2005 había un mercado mundial de tonos de llamada valorado en más de 3 mil millones de dólares por año. ¿Cuánta energía se utilizó para producir, publicitar, vender y distribuir estos sonidos? ¿Cuánta energía consumen las redes sociales, cuyo beneficio proviene de la venta de publicidad? ¿Vincular anuncios a Bitcoin lo haría más real, más justificado? <br/> <br/> Bitcoin puede tener un propósito menos que obvio para muchos, pero incluso si se lo considera nada más que un juego de apuestas en línea (otro usuario de energía), es justo en medio de una larga lista de entrañas muy humanas y cada vez más virtuales.",0.09211309523809524,0.3954464285714287,0.09211309523809524,0.3954464285714287,0.09211309523809524,0.3954464285714287,0.09211309523809524,0.3954464285714287,0.09211309523809524,0.3954464285714287
