,index,Unnamed: 0,client_msg_id,type,text,ts,team,blocks,bot_id,bot_profile,files,upload,display_as_bot,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,subscribed,reactions,subtype,inviter,edited,attachments,Channel_id,Channel_name,bot_link,purpose,user_hash,datetime,date,time,h,m,s,translations
0,0,0,322839bd-31c3-4ff7-8b6e-d824a5cdb847,message,"Gracias. Ya les escribí, espero se una alguien.",1604419608.0007,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '4FXOH', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Gracias. Ya les escribí, espero se una alguien.'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-11-03 13:06:48.000700,2020-11-03,13:06:48.000700,13,6,48,"Thank you. I already wrote, I hope someone will join."
1,3,3,2F57DD3E-D098-49D7-AEDB-342AB71BCA7E,message,Cuidese no mas,1604063926.0034,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'oA/g', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Cuidese no mas'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,6d8a0758084d99aa5f56a3cf6908c62f,2020-10-30 10:18:46.003400,2020-10-30,10:18:46.003400,10,18,46,Take care no more
2,4,4,2211ed6c-8d05-4f0a-87f3-86f69f46b78b,message,hola buenos días ! ok :wink:,1604063557.003,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'dYV', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'hola buenos días ! ok '}, {'type': 'emoji', 'name': 'wink'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,dc71163e5963271a52952b547d9b3757,2020-10-30 10:12:37.003000,2020-10-30,10:12:37.003000,10,12,37,Hello good day ! ok: wink:
3,5,5,d3e4e7c2-8b3b-480b-bd2d-2d9f3942ab05,message,No pasa nada!,1604063525.0027,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'hpIW2', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'No pasa nada!'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-30 10:12:05.002700,2020-10-30,10:12:05.002700,10,12,5,Nothing happens!
4,6,6,5b6e72b6-fb6a-4f97-bdf4-1978c961fb55,message,Dale Ivan! Buen día!,1604063521.0025,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '1skxv', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Dale Ivan! Buen día!'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-30 10:12:01.002500,2020-10-30,10:12:01.002500,10,12,1,Go Ivan! Good day!
5,7,7,d80dfd40-545c-4168-8dd1-26f8e1910b0d,message,"Hola. Muy buenos días.
No podré estar hoy en la daily, estaré en carretera.

El jueves sería la reunión con Desafiando Horizontes.",1604063470.0022,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '9fSK', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Hola. Muy buenos días.\nNo podré estar hoy en la daily, estaré en carretera.\n\nEl jueves sería la reunión con Desafiando Horizontes.'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,9de0eab41d06af99a9db556b51b6585d,2020-10-30 10:11:10.002200,2020-10-30,10:11:10.002200,10,11,10,"Hi. Very good days.
I won't be able to be in the daily today, I'll be on the road.

Thursday would be the meeting with Defying Horizons."
6,20,20,68f43858-9cb3-473c-8a1a-8b0f3857f4b8,message,Jajajajaja,1603831026.01,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'wMyb', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Jajajajaja'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,ee2b02f7f3ecf01dd408031780cb1521,2020-10-27 17:37:06.010000,2020-10-27,17:37:06.010000,17,37,6,Hahaha
7,23,23,3bfacba7-2fae-486d-b1e0-0dce866b42fd,message,"Si pueden por hoy cerrar este slack asi no les notifica, seria bueno.... asi puedo terminar de probar algo... gracias, y disculpen",1603827652.0096,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '3hW', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Si pueden por hoy cerrar este slack asi no les notifica, seria bueno.... asi puedo terminar de probar algo... gracias, y disculpen'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,dc71163e5963271a52952b547d9b3757,2020-10-27 16:40:52.009600,2020-10-27,16:40:52.009600,16,40,52,"If you can close this slack for today so I don't notify you, it would be good ... so I can finish trying something ... thank you, and excuse me"
8,24,24,bab31aac-6a37-40de-bee9-970c11e26d87,message,jaja puede ser... les prometo que no me queda mucho,1603827001.0085,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'tpdQl', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'jaja puede ser... les prometo que no me queda mucho'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,dc71163e5963271a52952b547d9b3757,2020-10-27 16:30:01.008500,2020-10-27,16:30:01.008500,16,30,1,haha it could be ... I promise you I don't have much left
9,25,25,D4ED936A-E05E-4CE9-9157-C193BBEAF497,message,"Vero, te vas a tener que plantear otro modo de log :)",1603826944.008,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'mDyD', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Vero, te vas a tener que plantear otro modo de log :)'}]}]}]",,,,,,,,,,,,,,,,,C01C9U9CJ3S,dailys,,,6d8a0758084d99aa5f56a3cf6908c62f,2020-10-27 16:29:04.008000,2020-10-27,16:29:04.008000,16,29,4,"Vero, you are going to have to consider another way of logging :)"
